,merchant_id,merchant_name,cuisine_type,city
0,GF-00001,Resto GrabMantap 0,Seafood,Depok
1,GF-00002,Resto GrabMantap 1,Fast Food,Surabaya
2,GF-00003,Resto GrabMantap 2,Martabak,Tangerang
3,GF-00004,Resto GrabMantap 3,Martabak,Jakarta
4,GF-00005,Resto GrabMantap 4,Snacks,Bekasi
5,GF-00006,Resto GrabMantap 5,Ayam Geprek,Jakarta
6,GF-00007,Resto GrabMantap 6,Martabak,Bekasi
7,GF-00008,Resto GrabMantap 7,Seafood,Bekasi
8,GF-00009,Resto GrabMantap 8,Martabak,Medan
9,GF-00010,Resto GrabMantap 9,Beverages,Makassar
10,GF-00011,Resto GrabMantap 10,Snacks,Surabaya
11,GF-00012,Resto GrabMantap 11,Fast Food,Bogor
12,GF-00013,Resto GrabMantap 12,Martabak,Depok
13,GF-00014,Resto GrabMantap 13,Snacks,Bekasi
14,GF-00015,Resto GrabMantap 14,Fast Food,Bekasi
15,GF-00016,Resto GrabMantap 15,Martabak,Jakarta
16,GF-00017,Resto GrabMantap 16,Beverages,Tangerang
17,GF-00018,Resto GrabMantap 17,Fast Food,Medan
18,GF-00019,Resto GrabMantap 18,Fast Food,Jakarta
19,GF-00020,Resto GrabMantap 19,Beverages,Bali
20,GF-00021,Resto GrabMantap 20,Snacks,Tangerang
21,GF-00022,Resto GrabMantap 21,Martabak,Makassar
22,GF-00023,Resto GrabMantap 22,Martabak,Bandung
23,GF-00024,Resto GrabMantap 23,Snacks,Surabaya
24,GF-00025,Resto GrabMantap 24,Ayam Geprek,Bali
25,GF-00026,Resto GrabMantap 25,Fast Food,Bandung
26,GF-00027,Resto GrabMantap 26,Ayam Geprek,Bogor
27,GF-00028,Resto GrabMantap 27,Ayam Geprek,Tangerang
28,GF-00029,Resto GrabMantap 28,Snacks,Bandung
29,GF-00030,Resto GrabMantap 29,Seafood,Medan
30,GF-00031,Resto GrabMantap 30,Seafood,Jakarta
31,GF-00032,Resto GrabMantap 31,Seafood,Bandung
32,GF-00033,Resto GrabMantap 32,Fast Food,Jakarta
33,GF-00034,Resto GrabMantap 33,Martabak,Medan
34,GF-00035,Resto GrabMantap 34,Snacks,Surabaya
35,GF-00036,Resto GrabMantap 35,Martabak,Depok
36,GF-00037,Resto GrabMantap 36,Martabak,Tangerang
37,GF-00038,Resto GrabMantap 37,Snacks,Bekasi
38,GF-00039,Resto GrabMantap 38,Ayam Geprek,Depok
39,GF-00040,Resto GrabMantap 39,Beverages,Depok
40,GF-00041,Resto GrabMantap 40,Beverages,Bogor
41,GF-00042,Resto GrabMantap 41,Beverages,Tangerang
42,GF-00043,Resto GrabMantap 42,Snacks,Bogor
43,GF-00044,Resto GrabMantap 43,Fast Food,Bandung
44,GF-00045,Resto GrabMantap 44,Beverages,Bali
45,GF-00046,Resto GrabMantap 45,Fast Food,Makassar
46,GF-00047,Resto GrabMantap 46,Ayam Geprek,Tangerang
47,GF-00048,Resto GrabMantap 47,Beverages,Bandung
48,GF-00049,Resto GrabMantap 48,Ayam Geprek,Bandung
49,GF-00050,Resto GrabMantap 49,Beverages,Bali
50,GF-00051,Resto GrabMantap 50,Ayam Geprek,Bandung
51,GF-00052,Resto GrabMantap 51,Fast Food,Bandung
52,GF-00053,Resto GrabMantap 52,Fast Food,Jakarta
53,GF-00054,Resto GrabMantap 53,Fast Food,Jakarta
54,GF-00055,Resto GrabMantap 54,Fast Food,Makassar
55,GF-00056,Resto GrabMantap 55,Ayam Geprek,Bekasi
56,GF-00057,Resto GrabMantap 56,Fast Food,Makassar
57,GF-00058,Resto GrabMantap 57,Ayam Geprek,Bali
58,GF-00059,Resto GrabMantap 58,Martabak,Surabaya
59,GF-00060,Resto GrabMantap 59,Martabak,Jakarta
60,GF-00061,Resto GrabMantap 60,Ayam Geprek,Jakarta
61,GF-00062,Resto GrabMantap 61,Seafood,Bali
62,GF-00063,Resto GrabMantap 62,Beverages,Bandung
63,GF-00064,Resto GrabMantap 63,Snacks,Makassar
64,GF-00065,Resto GrabMantap 64,Snacks,Medan
65,GF-00066,Resto GrabMantap 65,Ayam Geprek,Makassar
66,GF-00067,Resto GrabMantap 66,Fast Food,Medan
67,GF-00068,Resto GrabMantap 67,Seafood,Bali
68,GF-00069,Resto GrabMantap 68,Beverages,Bali
