merchant_id,merchant_name,cuisine_type,city
GF-00001,Resto GrabMantap 0,Seafood,Depok
GF-00002,Resto GrabMantap 1,Fast Food,Surabaya
GF-00003,Resto GrabMantap 2,Martabak,Tangerang
GF-00004,Resto GrabMantap 3,Martabak,Jakarta
GF-00005,Resto GrabMantap 4,Snacks,Bekasi
GF-00006,Resto GrabMantap 5,Ayam Geprek,Jakarta
GF-00007,Resto GrabMantap 6,Martabak,Bekasi
GF-00008,Resto GrabMantap 7,Seafood,Bekasi
GF-00009,Resto GrabMantap 8,Martabak,Medan
GF-00010,Resto GrabMantap 9,Beverages,Makassar
GF-00011,Resto GrabMantap 10,Snacks,Surabaya
GF-00012,Resto GrabMantap 11,Fast Food,Bogor
GF-00013,Resto GrabMantap 12,Martabak,Depok
GF-00014,Resto GrabMantap 13,Snacks,Bekasi
GF-00015,Resto GrabMantap 14,Fast Food,Bekasi
GF-00016,Resto GrabMantap 15,Martabak,Jakarta
GF-00017,Resto GrabMantap 16,Beverages,Tangerang
GF-00018,Resto GrabMantap 17,Fast Food,Medan
GF-00019,Resto GrabMantap 18,Fast Food,Jakarta
GF-00020,Resto GrabMantap 19,Beverages,Bali
GF-00021,Resto GrabMantap 20,Snacks,Tangerang
GF-00022,Resto GrabMantap 21,Martabak,Makassar
GF-00023,Resto GrabMantap 22,Martabak,Bandung
GF-00024,Resto GrabMantap 23,Snacks,Surabaya
GF-00025,Resto GrabMantap 24,Ayam Geprek,Bali
GF-00026,Resto GrabMantap 25,Fast Food,Bandung
GF-00027,Resto GrabMantap 26,Ayam Geprek,Bogor
GF-00028,Resto GrabMantap 27,Ayam Geprek,Tangerang
GF-00029,Resto GrabMantap 28,Snacks,Bandung
GF-00030,Resto GrabMantap 29,Seafood,Medan
GF-00031,Resto GrabMantap 30,Seafood,Jakarta
GF-00032,Resto GrabMantap 31,Seafood,Bandung
GF-00033,Resto GrabMantap 32,Fast Food,Jakarta
GF-00034,Resto GrabMantap 33,Martabak,Medan
GF-00035,Resto GrabMantap 34,Snacks,Surabaya
GF-00036,Resto GrabMantap 35,Martabak,Depok
GF-00037,Resto GrabMantap 36,Martabak,Tangerang
GF-00038,Resto GrabMantap 37,Snacks,Bekasi
GF-00039,Resto GrabMantap 38,Ayam Geprek,Depok
